Provider Name,Phone,Address,Specialty,NPI,Website,License Number,Clinic Name,State,Phone_Valid,NPI_Valid,Website_Active,Address_Valid,Website_Title,AI_Specialty_Prediction,AI_Category,AI_Keywords,AI_Summary,Confidence_Score,Trust_Level,Anomaly_Flag,Anomaly_Notes
Michael Pineda,+1-546-073-8682x8820,"Unit 9477 Box 8720, DPO AE 23918",Radiology,1838473789,https://www.michael61clinic.com,LIC-53973,Michael Health Clinic,CA,True,True,False,True,Michael Health Clinic | Radiology in CA,Radiology,Specialist Clinic,"Radiology, CA, Michael, healthcare, doctor","Michael Pineda is a Radiology provider at Michael Health Clinic based in CA, serving patients as a specialist clinic.",79,Moderate,True,Website not reachable
Anthony Hayden,(572)799-0582,"USS Rivera, FPO AA 61680",Cardiology,1182088606,https://www.anthony72clinic.com,LIC-44813,Anthony Health Clinic,NY,True,True,False,True,Anthony Health Clinic | Cardiology in NY,Cardiology,Specialist Clinic,"Cardiology, NY, Anthony, healthcare, doctor","Anthony Hayden is a Cardiology provider at Anthony Health Clinic based in NY, serving patients as a specialist clinic.",84,High,False,Website not reachable
Aaron Davis,(318)469-4418,"55323 Turner Coves Suite 820, North Jamesstad, OK 14315",Family Medicine,1891352085,https://www.aaron31clinic.com,LIC-65128,Aaron Health Clinic,IL,True,True,True,True,Aaron Health Clinic | Family Medicine in IL,Family Medicine,Primary Care Clinic,"Family Medicine, IL, Aaron, healthcare, doctor","Aaron Davis is a Family Medicine provider at Aaron Health Clinic based in IL, serving patients as a primary care clinic.",93,High,False,
Noah Johnson,+1-891-815-5746x93343,"7671 Villa Isle, New Briannachester, TX 94725",Orthopedics,1901360875,https://www.noah99clinic.com,LIC-19815,Noah Health Clinic,FL,True,True,True,True,Noah Health Clinic | Orthopedics in FL,Orthopedics,Specialist Clinic,"Orthopedics, FL, Noah, healthcare, doctor","Noah Johnson is a Orthopedics provider at Noah Health Clinic based in FL, serving patients as a specialist clinic.",92,High,False,
Stephen Murphy,427.337.1853x0394,"4180 Tyler Prairie, Brownbury, UT 57148",Pediatrics,1696358025,https://www.stephen88clinic.com,LIC-55099,Stephen Health Clinic,PA,True,True,True,True,Stephen Health Clinic | Pediatrics in PA,Pediatrics,Primary Care Clinic,"Pediatrics, PA, Stephen, healthcare, doctor","Stephen Murphy is a Pediatrics provider at Stephen Health Clinic based in PA, serving patients as a primary care clinic.",92,High,False,
Roger Lynch,001-681-775-3417,"3542 Austin Estates Suite 776, Lancemouth, MD 97218",Oncology,1331880121,https://www.roger86clinic.com,LIC-24611,Roger Health Clinic,IL,True,True,True,True,Roger Health Clinic | Oncology in IL,Oncology,Specialist Clinic,"Oncology, IL, Roger, healthcare, doctor","Roger Lynch is a Oncology provider at Roger Health Clinic based in IL, serving patients as a specialist clinic.",95,High,False,
Max Johnson,5599503886,"7767 Cox Mountain, Lewisview, ND 58544",Pediatrics,1562805317,https://www.max57clinic.com,LIC-80454,Max Health Clinic,FL,True,True,True,True,Max Health Clinic | Pediatrics in FL,Pediatrics,Primary Care Clinic,"Pediatrics, FL, Max, healthcare, doctor","Max Johnson is a Pediatrics provider at Max Health Clinic based in FL, serving patients as a primary care clinic.",89,High,False,
Eduardo Mueller,(887)365-6037x6011,"21001 Robert Meadow, South Meganport, VA 88551",Urology,1438835031,https://www.eduardo52clinic.com,LIC-32342,Eduardo Health Clinic,GA,True,True,True,True,Eduardo Health Clinic | Urology in GA,Urology,Specialist Clinic,"Urology, GA, Eduardo, healthcare, doctor","Eduardo Mueller is a Urology provider at Eduardo Health Clinic based in GA, serving patients as a specialist clinic.",93,High,False,
Timothy Guerra,(884)333-6333x06998,"48288 Roger Islands Suite 795, North Georgechester, RI 14734",Oncology,1823894891,https://www.timothy65clinic.com,LIC-35744,Timothy Health Clinic,PA,True,True,True,True,Timothy Health Clinic | Oncology in PA,Oncology,Specialist Clinic,"Oncology, PA, Timothy, healthcare, doctor","Timothy Guerra is a Oncology provider at Timothy Health Clinic based in PA, serving patients as a specialist clinic.",90,High,False,
Christine Smith,873.141.1066,"4808 Tiffany Burg, Lake Warren, TN 80786",Urology,1428502123,https://www.christine92clinic.com,LIC-64858,Christine Health Clinic,NC,True,True,False,True,Christine Health Clinic | Urology in NC,Urology,Specialist Clinic,"Urology, NC, Christine, healthcare, doctor","Christine Smith is a Urology provider at Christine Health Clinic based in NC, serving patients as a specialist clinic.",79,Moderate,True,Website not reachable
Sarah Collins,(927)466-7814,"635 Gray Forges Suite 791, Carterfort, NM 19242",Radiology,1647546192,https://www.sarah18clinic.com,LIC-99322,Sarah Health Clinic,NC,True,True,True,True,Sarah Health Clinic | Radiology in NC,Radiology,Specialist Clinic,"Radiology, NC, Sarah, healthcare, doctor","Sarah Collins is a Radiology provider at Sarah Health Clinic based in NC, serving patients as a specialist clinic.",92,High,False,
